language_iso	trans_ID	language_english	language_name	version	verses
hin	HNDWTC	Hindi	हिंदी	WTC # Easy-to-Read Version	7935
hne	HNEBGC	Chattisgarhi	Chhattisgarhi	BGC # 2012 Edition	7959
hnn	HNNOMF	Hanunoo	Hanunoo	OMF # 1995 Edition	7946
hns	HNSWBT	Sarnami Hindi	Sarnami Hindi	WBT # 1997 Edition	7832
hot	HOTWBT	Hote	Hote	WBT # 2010 Edition	7924
hto	HTOWBT	Huitoto, Minica	Huitoto, Minica	WBT # 1985 Edition	7956
hus	HU1BIV	Tenek de San Luis Potosi	Tenek de San Luis Potosi	BIV # Bibles International Version	7958
hub	HUBWBT	Huambisa	Huambisa	WBT # 2010 Edition	7744
hui	HUIPNG	Huli	Huli	PNG # 2002 Edition	34855
hun	HUNK90	Hungarian	Magyar	K90 # 1590 Károli Bible	31165
hun	HUNRNT	Hungarian	Magyar	RNT # 2014 Revideált új fordítású Biblia	31170
hus	HUSLLB	Huasteco, Veracruz	Huasteco, Veracruz	LLB # 2005 Edition	7943
huu	HUUTBL	Huitoto Murui	Huitoto Murui	TBL # 1978 Edition	7931
huv	HUVTBL	Huave de San Mateo del Mar	Huave de San Mateo del Mar	TBL # 1996 Edition	7958
hvn	HVNLAI	Sabu	Sabu	LAI # 2000 Edition	7946
ian	IANPNG	Iatmul	Iatmul	PNG # 1975 Edition	7907
iba	IBATIV	Iban	Iban	TIV # Today's Iban Version	7940
icr	ICRWYI	San Andres Islander Creole	San Andres Islander Creole	WYI # 2015 Edition	7956
ifa	IFAWBT	Amganad Ifugao	Central Ifugao	WBT # WBT Version	31090
ifb	IFBTBL	Ayangan Ifugao	Ayangan Ifugao	TBL # 2010 Edition	31097
ife	IFEWBT	Ife	Ifè	WBT # 2009 Edition	7953
ifk	IFKTBL	Tuwali Ifugao	Tuwali Ifugao	TBL # 2004 Edition	7759
ifu	IFUWPS	Mayoyao Ifugao	Mayoyao Ifugao	WPS # 2004 Edition	7941
ify	IFYWBT	Antipolo Ifugao	Antipolo Ifugao	WBT # 2008 Edition	30632
ign	IGNSBB	Ignaciano	Ignaciano	SBB # 2004 Edition	7957
ikk	IKKTBL	Ika	Ika	TBL # 2010 Edition	31104
ilo	ILORPV	Ilokano	Ilocano	RPV # 1996 Revised Popular Version	7867
imo	IMOTBL	Imbongu	Imbongu	TBL # 1997 Edition	7938
inb	INBWBT	Inga	Inga	WBT # 1996 Edition	7940
ind	INDSHV	Indonesian	Indonesian	SHV # Sehari-hari	30327
ino	INOTBL	Inoke-Yate	Inoke-Yate	TBL # 1992 Edition	7933
ind	INZNTV	Indonesian	Indonesian	NTV # Indonesian New Translation (formal) Version, 1974	31172
ind	INZTSI	Indonesian	Indonesian	TSI # Terjemahan Sederhana Indonesia Version	7726
ipi	IPIPNG	Ipili	Ipili	PNG # 2008 Edition	7370
iri	IRIWYI	Irigwe	Irigwe	WYI # 2012 Edition	7959
irk	IRKBST	Kiiraqw	Kiiraqw	BST # 2003 Edition	7957
iry	IRYOMF	Iraya	Iraya	OMF # 1991 Edition	7912
isl	ISLICE	Icelandic	Icelandic	ICE # Biblían Heilög Ritning	7951
ita	ITAR27	Italian	Italiano	R27 # 1927 Riveduta Bibbia	31102
itl	ITLIBT	Itelmen	Itelmen	IBT # 2002 Edition	1151
itv	ITVSTP	Itawit	Itawit	STP # Scripture Translation for Every People 2009	7949
iws	IWSWBT	Sepik Iwam	Sepik Iwam	WBT # 1989 Edition	7958
ixl	IX1WBT	Ixil	Ixil	WBT # Chajul - 2016 Edition	7910
ixi	IXIWBT	Ixil	Ixil	WBT # Nebaj - 2008 Edition	7958
ixl	IXLWBT	Ixil	Ixil	WBT # San Juan Cotzal - 2001 Edition	7957
izz	IZZTBL	Izii	Izii	TBL # WBT Version	31095
jac	JACWBT	Jacalteco, Eastern	Jacalteco, Eastern	WBT # 1997 Edition	7956
jam	JAMBSW	Jamaican Creole	Jamaican Creole	BSW # 2012 Edition	7966
jav	JAVNRF	Javanese, Indonesian	Javanese, Indonesian	NRF # New Revised Javanese (formal) Version, 2006	7959
jbu	JBUIBS	Jukun	Jukun	IBS # 1994 Edition	7942
jic	JICWBT	Tol	Tol	WBT # 2008 Edition	7922
jiv	JIVAIE	Shuar	Shuar	AIE # 2009 Edition	7947
jmc	JMCBST	Kimashami	Kimashami	BST # 2000 Edition	7958
jpn	JPNCJV	Japanese	日本語	CJV # 1955 Colloquial Japanese	31104
jun	JUNWIN	Juang	Juang	WIN # 2016 Edition	7956
jvn	JVNTBL	Javanese, Suriname	Javanese, Suriname	TBL # 1999 Edition	7931
kaa	KAAIBT	Karakalpak	Karakalpak	IBT # 2004 Edition	7941
kac	KACUBS	Kachin	Kachin	UBS # Hanson Version	30944
kao	KAOABM	Khassonke 	Khassonke 	ABM # 2006 Edition	7946
kaq	KAQTBL	Capanahua	Capanahua	TBL # 2008 Edition	7958
kaz	KAZKAZ	Kazakh	Kazakh	KAZ # 2010 Kiyeli kitab	31062
kbh	KBHWBT	Camsa	Camsa	WBT # 1990 Edition	7900
kbm	KBMTBL	Iwal	Iwal	TBL # 1984 Edition	7871
kbp	KBPABT	Kabiye	Kabiye	ABT # 1995 Edition	7954
kbp	KBPBIV	Kabiye	Kabiye	BIV # 2011 Bibles International	7955
kbp	KBPRCV	Kabiye	Kabiye	RCV # 2010 Edition	7954
kbr	KBRSIM	Kafa	Kafa	SIM # 2010 Edition	7683
kcg	KCGWBT	Tyap	Tyap	WBT # 2015 Edition	7952
kdp	KD1BSU	Kebu	Kebu	BSU # 1993 Edition	7957
kdc	KDCPBT	Kutu	Kutu	PBT # PBT Version	7959
kue	KDIBSU	Kumam	Kumam	BSU # 2006 Edition	7958
kdj	KDJBSU	Karimojong	Karimojong	BSU # 1996 Edition	7958
kek	KEKIBS	Kekchi	Kekchi	IBS # 2008 Edition	7958
ken	KENWBT	Kenyang	Kenyang	WBT # 2010 Edition	7948
keo	KEOBSU	Kakwa	Kakwa	BSU # 1977 Editions	7961
ker	KERABT	Kera	Kera	ABT # 2004 Edition	7956
kez	KEZLCN	Kukele	Kukele	LCN # 1979 Edition	7936
kgr	KGRLAI	Abun	Abun	LAI # 2004 Edition	7947
khq	KHQBIV	Koyra Ciini	Songhay, Timbuktu	BIV # 2017 Edition	7957
khz	KHZPNG	Kalo	Kalo	PNG # 2005 Edition	7958
kia	KIAWBT	Kim	Garab	WBT # WBT Version	7955
kij	KIJPNG	Kiriwina	Kiriwina	PNG # 2011 Edition	7918
kje	KJEWBT	Kisar	Kisar	WBT # 2007 Edition	7843
kjh	KJHIBT	Khakas	Khakas	IBT # 2004 Edition	7954
kki	KKIBST	Kikagulu	Kikagulu	BST # 2009 Edition	7958
kkj	KKJWBT	Kako	Kako	WBT # 1999 Edition	7946
kle	KLENLI	Kulung	Kulung	NLI # 2016 Edition	7959
klv	KLVWBT	Maskelynes	Maskelynes	WBT # 2013 Edition	7958
kmr	KM2IBT	Kurdish Kurmanji	Kurmancî	IBT # Cyrillic - Transcaucasia	7941
kmy	KMAWBT	Koma	Koma	WBT # 2004 Edition	7948
kmd	KMDTAP	Kalinga Majukayang	Kalinga Majukayang	TAP # 2014 Edition	7886
khm	KMHBSC	Khmer, Central	Khmer, Central	BSC # Khmer Standard Version	7959
khm	KMHKOV	Khmer, Central	Khmer, Central	KOV # Old version	7957
kmo	KMOWBT	Kwoma	Kwoma	WBT # 1974 Edition	7953
kmr	KMRIBT	Kurdish Kurmanji	Kurmancî	IBT # Latin - Transcaucasia	7935
