language_iso	trans_ID	language_name	verses	source
lac	LACTBL	Lacandon	7955	API
laj	LAJBSU	Lango	7956	API
lao	LAOUBS	ລາວ	7948	API
lam	LASABT	Lamba for Togo	7939	API
law	LAWNTM	Lauje	7904	API
lee	LEEWBT	Lyele	7915	API
lef	LEFTBL	Lelemi	7957	API
lem	LEMWBT	Nomaande	7956	API
leu	LEUTBL	Kara (Papua New Guinea)	7953	API
lew	LEWLAI	Ledo Kaili	7953	API
lex	LEXWBT	Luang	7950	API
lgg	LGGBSU	Lugbara	7957	API
lgl	LGLWYI	Wala	7878	API
lhu	LHUTBS	Lahu	7935	API
lia	LIABSL	Limba West	7923	API
lif	LIFWBT	Limbu	7875	API
lip	LIPWBT	Sekpele	7955	API
lis	LISTCM	Lisu	7950	API
ljp	LJPLAI	Lampung	7945	API
lln	LLNABT	Lélé (Chad)	7958	API
lmk	LMKBIV	Lamkang	7959	API
lnd	LNDBSM	Lun Bawang - Lun Dayah	30532	API
lob	LOBBSB	Lobiri	7960	API
lok	LOKLBT	Loko	7956	API
lsm	LSMBSU	Lusamya-Lugwe	7957	API
lat	LTNNVV	Latin	35608	API
ltz	LTZBIV	Luxembourgish	7954	API
luc	LUCHLA	Aringa	7955	API
lus	LUSBIV	Mizo	7956	API
lwo	LWOWBT	Luwo	7818	API
lww	LWWWBT	Lewo	7835	API
maa	MAASAV	Mazatec (San Antonio & San Jeronimo)	7958	API
maa	MAASJV	Mazatec (San Antonio & San Jeronimo)	7959	API
mad	MADIBS	Madurese	29777	API
mag	MAGSSI	Magahi	7899	API
mah	MAHWGM	Marshallese	31074	API
mai	MAIWBT	Maithili	7958	API
mak	MAKLAI	Makassar	7886	API
mar	MARWTC	Marathi	7956	API
maw	MAWWBT	Mampruli	7902	API
maz	MAZTBL	Mazahua, Central	7850	API
mbb	MBBWPS	Manobo, Western Bukidnon	7867	API
mbc	MBCMVA	Macushi	7891	API
mbh	MBHTBL	Mangseng	7952	API
mbt	MBTWBT	Matigsalug	7926	API
mca	MCAWYI	Maka	7958	API
mcd	MCDTBL	Sharanahua	7880	API
mco	MCOTBL	Mixe de Coatlan	7950	API
mcp	MCPWBT	Makaa	7959	API
mcq	MCQTBL	Ese	7953	API
mcu	MCUTBL	Mambila for Cameroon	7937	API
mda	MDAWBT	Mada	7936	API
mdy	MDYBSE	Maale	30744	API
met	ME1PNG	Mato	7918	API
med	MEDPNG	Melpa	7924	API
